Timestamp,Longitude,Latitude,CellID,RSRP,RSRQ,SNR,CQI,DL_bitrate,UL_bitrate,Cluster
2017-11-30 16:16:46,-8.500061,51.893115,8,-104,-16,6.0,8,1453,25,0
2017-11-30 16:16:48,-8.500061,51.893115,8,-104,-16,6.0,8,1822,56,0
2017-11-30 16:16:49,-8.500061,51.893115,8,-104,-16,6.0,8,3176,59,0
2017-11-30 16:16:50,-8.500061,51.893115,8,-104,-15,6.0,8,1901,35,0
2017-11-30 16:16:51,-8.500061,51.893115,8,-104,-15,6.0,8,1509,28,0
2017-11-30 16:16:53,-8.500061,51.893115,8,-104,-15,7.0,8,2952,54,0
2017-11-30 16:16:54,-8.500061,51.893115,8,-104,-15,7.0,8,1386,26,0
2017-11-30 16:16:55,-8.500061,51.893115,8,-104,-14,7.0,8,4261,79,0
2017-11-30 16:16:56,-8.500061,51.893115,8,-104,-14,7.0,8,2158,40,0
2017-11-30 16:16:58,-8.500061,51.893115,8,-104,-15,7.0,8,2650,98,0
2017-11-30 16:16:59,-8.500061,51.893115,8,-104,-15,7.0,8,2728,50,0
2017-11-30 16:17:00,-8.500061,51.893115,8,-104,-15,7.0,8,782,15,0
2017-11-30 16:17:01,-8.500061,51.893115,8,-104,-15,7.0,8,2214,83,0
2017-11-30 16:17:02,-8.500061,51.893115,8,-103,-15,6.0,8,1096,36,0
2017-11-30 16:17:04,-8.500061,51.893115,8,-103,-15,6.0,8,2203,45,0
2017-11-30 16:17:05,-8.500061,51.893115,8,-104,-15,6.0,8,2057,48,0
2017-11-30 16:17:06,-8.500061,51.893115,8,-104,-15,6.0,8,1923,41,0
2017-11-30 16:17:07,-8.500061,51.893115,8,-104,-15,8.0,8,2147,49,0
2017-11-30 16:17:09,-8.500061,51.893115,8,-104,-15,8.0,8,1668,35,0
2017-11-30 16:17:10,-8.500061,51.893115,8,-104,-15,6.0,8,1825,48,0
2017-11-30 16:17:11,-8.500061,51.893115,8,-104,-15,6.0,8,2496,120,0
2017-11-30 16:17:12,-8.500061,51.893115,8,-104,-15,6.0,8,3582,185,2
2017-11-30 16:17:13,-8.500061,51.893115,8,-104,-15,6.0,8,2501,59,0
2017-11-30 16:17:14,-8.500061,51.893115,8,-104,-15,7.0,8,2048,44,0
2017-11-30 16:17:16,-8.500061,51.893115,8,-104,-15,7.0,8,1568,54,0
2017-11-30 16:17:17,-8.500061,51.893115,8,-104,-15,7.0,8,1529,58,0
2017-11-30 16:17:18,-8.500061,51.893115,8,-104,-15,7.0,8,1052,136,0
2017-11-30 16:17:19,-8.500061,51.893115,8,-104,-16,6.0,8,2545,148,0
2017-11-30 16:17:20,-8.500061,51.893115,8,-104,-16,6.0,8,1852,55,0
2017-11-30 16:17:22,-8.500061,51.893115,8,-104,-16,6.0,8,2076,70,0
2017-11-30 16:17:23,-8.500061,51.893115,8,-104,-16,6.0,8,715,31,0
2017-11-30 16:17:24,-8.500061,51.893115,8,-104,-15,6.0,8,2010,149,0
2017-11-30 16:17:25,-8.500061,51.893115,8,-104,-15,6.0,8,2201,63,0
2017-11-30 16:17:27,-8.500061,51.893115,8,-106,-16,6.0,9,1528,32,0
